name,year,sellingprice,kmdriven,fuel,sellertype,transmission,owner
Maruti 800 AC,2007,60000,70000,1,1,1,1
Maruti Wagon R LXI Minor,2007,135000,50000,1,1,1,1
Hyundai Verna 1.6 SX,2012,600000,100000,2,1,1,1
Datsun RediGO T Option,2017,250000,46000,1,1,1,1
Honda Amaze VX i-DTEC,2014,450000,141000,2,1,1,2
Maruti Alto LX BSIII,2007,140000,125000,1,1,1,1
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,1,1,1,1
Tata Indigo Grand Petrol,2014,240000,60000,1,1,1,2
Hyundai Creta 1.6 VTVT S,2015,850000,25000,1,1,1,1
Maruti Celerio Green VXI,2017,365000,78000,4,1,1,1
Chevrolet Sail 1.2 Base,2015,260000,35000,1,1,1,1
Tata Indigo Grand Petrol,2014,250000,100000,1,1,1,1
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,1,2,2,1
Maruti 800 AC,2007,60000,70000,1,1,1,1
Maruti Wagon R LXI Minor,2007,135000,50000,1,1,1,1
Hyundai Verna 1.6 SX,2012,600000,100000,2,1,1,1
Datsun RediGO T Option,2017,250000,46000,1,1,1,1
Honda Amaze VX i-DTEC,2014,450000,141000,2,1,1,2
Maruti Alto LX BSIII,2007,140000,125000,1,1,1,1
Hyundai Xcent 1.2 Kappa S,2016,550000,25000,1,1,1,1
Tata Indigo Grand Petrol,2014,240000,60000,1,1,1,2
Hyundai Creta 1.6 VTVT S,2015,850000,25000,1,1,1,1
Maruti Celerio Green VXI,2017,365000,78000,4,1,1,1
Chevrolet Sail 1.2 Base,2015,260000,35000,1,1,1,1
Tata Indigo Grand Petrol,2014,250000,100000,1,1,1,1
Toyota Corolla Altis 1.8 VL CVT,2018,1650000,25000,1,2,2,1
Maruti Ciaz VXi Plus,2015,585000,24000,1,2,1,1
Hyundai Venue SX Opt Diesel,2019,1195000,5000,2,2,1,1
Chevrolet Enjoy TCDi LTZ 7 Seater,2013,390000,33000,2,1,1,2
Jaguar XF 2.2 Litre Luxury,2014,1964999,28000,2,2,2,1
Mercedes-Benz New C-Class 220 CDI AT,2013,1425000,59000,2,2,2,1
Maruti Vitara Brezza ZDi Plus AMT,2018,975000,4500,2,2,2,1
Audi Q5 2.0 TDI,2011,1190000,175900,2,2,2,1
Honda City V MT,2018,930000,14500,1,2,1,1
Tata Tigor 1.2 Revotron XT,2018,525000,15000,1,1,1,1
Audi A6 2.0 TDI  Design Edition,2013,1735000,50000,2,2,2,1
Mercedes-Benz New C-Class C 220 CDI Avantgarde,2012,1375000,33800,2,2,2,2
Skoda Superb Ambition 2.0 TDI CR AT,2011,450000,130400,2,2,2,2
Toyota Corolla Altis G AT,2016,900000,50000,1,1,2,1
Toyota Innova 2.5 G (Diesel) 7 Seater,2015,1300000,80000,2,1,1,1
Jeep Compass 1.4 Sport Plus BSIV,2019,1400000,10000,1,1,1,1
Mercedes-Benz E-Class E 200 CGI Elegance,2010,850000,119000,1,2,2,1
Hyundai i10 Magna 1.1L,2014,229999,60000,1,1,1,4
BMW 3 Series 320d Sport Line,2013,1550000,75800,2,2,2,2
Audi Q7 35 TDI Quattro Premium,2009,1250000,78000,2,2,2,3
Hyundai Elantra CRDi S,2012,625000,40000,2,1,1,1
Mahindra Scorpio 1.99 S10,2014,1050000,50000,2,1,1,1
Honda City i DTEC V,2014,560000,74000,2,1,1,2
Maruti Wagon R VXI BS IV with ABS,2014,290000,64000,1,1,1,2
Maruti Wagon R VXI BS IV,2012,275000,60000,1,1,1,2
Mahindra Scorpio LX,2009,411000,120000,2,1,1,2
Hyundai Santro Xing GLS,2009,150000,79000,1,1,1,3
Hyundai Grand i10 1.2 Kappa Asta,2019,500000,15000,1,1,1,1
Maruti Alto LXi,2006,100000,80000,1,1,1,1
Maruti Swift Dzire VDI Optional,2017,725000,18500,2,2,1,1
Maruti Eeco 5 Seater AC BSIV,2018,401000,10200,1,2,1,1
Hyundai i20 Sportz 1.4 CRDi,2018,750000,29000,2,2,1,1
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018,310000,28000,1,2,1,1
